Leergebied,Kerndoel,Subkerndoel,Omschrijving,Dekking,Waar in het project (bewijs),Toelichting / hoe aan te tonen
"Mens en natuur","Kerndoel 30 - Natuurkundige verschijnselen en technische systemen","30A","De leerling toont inzicht in en experimenteert met voorwerpen en technische systemen: functie, eigenschappen en onderliggende mechanismen; werkende 2D/3D-modellen in een ontwerpproces; krachtenverdeling, bewegings- en overbrengingsprincipes; experimenteren met ontwerpen, maken en repareren.","Sterk","Mechanismentabel + keuze (les 1-2); kartonnen proefmodel (les 2); technische tekening met maten (les 3); asmontage + mechanisme + draaitest (les 5); eindeis >=2 mechanische bewegingen; presentatie van de werking (les 8); rubric criteria 1, 2 en 3.","De kern van het project: de draaiende slingerbeweging wordt via nok, kruk-drijfstang, excenter of tandwiel omgezet in de beweging van de figuur (overbrengingsprincipe). Dekt kennisleerdoelen 1-3 en het ontwerp-/maakleerdoel. VOORBEHOUD: dit is een orienterend onderbouwproject (havo 2); kerndoelen worden over de hele onderbouw opgebouwd en afgesloten, niet binnen een project."
"Mens en natuur","Kerndoel 30 - Natuurkundige verschijnselen en technische systemen","30B","De leerling toont inzicht in en experimenteert met krachten en beweging: o.a. wrijvingskracht; verband tussen kracht en verandering in beweging/snelheid; experimenteren met krachten in de constructie.","Sterk","Les 6: wrijving en speling opsporen en oplossen (schuren, lager toevoegen, ruimte maken); stevige kast en constructie; rubric criteria 3 en 4.","Wrijving is het centrale leermoment: leerlingen ervaren hoe wrijvingskracht de beweging remt en lossen dat gericht op. Dekt de vaardigheidsleerdoelen testen en verbeteren."
"Mens en natuur","Kerndoel 29 - Natuurwetenschappen en technologie","29A","De leerling verkent de leefomgeving en onderzoekt vraagstukken uit de wereld: waarnemen en waarderen van technologie; onderscheiden van mogelijke oplossingen; reflecteren op de waarde van een oplossing.","Deels","Les 1: onderzoek naar drie bestaande automata; herkennen welk mechanisme welke beweging maakt; mechanismekeuze afwegen tegen de figuur.","Orienterend onderzoek passend bij havo 2; geen volledige onderzoeksopzet met onderzoeksvraag en dataverwerking."
"Mens en natuur","Kerndoel 29 - Natuurwetenschappen en technologie","29B","De leerling gebruikt natuurwetenschappelijke en technologische denkwijzen: redeneren met oorzaak-gevolgrelaties; met structuur, vorm, eigenschap en functie; met systemen en modellen.","Sterk","Deelvraag 2 (draaien wordt andere beweging) en deelvraag 5 (waarom past dit mechanisme); vorm-functie-relatie tussen figuur en mechanisme; oorzaak-gevolg bij wrijving (les 6); rubric criteria 1 en 4.","Systeemdenken input (slinger) -> output (figuurbeweging) en vorm-functie-redeneren zijn expliciet ingebouwd via de deelvragen en de mechanismekeuze."
"Mens en natuur","Kerndoel 29 - Natuurwetenschappen en technologie","29C","De leerling gebruikt technologische werkwijzen: onderzoeks- en ontwerpstappen op een systematische en iteratieve wijze toepassen; veilig, doelmatig en duurzaam gebruiken van gereedschappen en materialen; waarnemingen interpreteren; conclusies en oplossingen onderbouwen met vaktaal.","Sterk","Iteratieve ontwerpcyclus: mock-up (les 2) -> technische tekening (les 3) -> bouw (les 4-5) -> testen en verbeteren (les 6 en 8); veilig werken met figuurzaag/decoupeerzaag, boormachine en lijmpistool; werking onderbouwen met vaktermen bij de presentatie; rubric criteria 3, 4, 5 en 6.","De ontwerpcyclus en veilig/nauwkeurig gereedschapsgebruik vormen de rode draad. (Dit is in de bron de havo-vwo-aanvulling en geldt dus voor deze havo-leerlingen.)"
"Mens en natuur","Kerndoel 29 - Natuurwetenschappen en technologie","29D","De leerling verkent de aard van natuurwetenschappen en technologie: hoe technologen systematisch werken om tot optimale oplossingen te komen.","Deels","Iteratief werken (les 2-8); mechanismekeuze afwegen tegen een alternatief; een verbeterpunt benoemen in de presentatie (les 8).","Leerlingen ervaren hoe technologen systematisch en iteratief tot een oplossing komen; expliciete reflectie op maakbaarheid en ethiek komt niet aan bod."
"Mens en natuur","Kerndoel 30 - Natuurkundige verschijnselen en technische systemen","30C","De leerling toont inzicht in elektrische schakelingen en energiesystemen.","Niet","-","Het automata is slinger-aangedreven. Lever: laat (een groep) een elektromotor met schakeling toevoegen als aandrijving om 30C te raken."
"Kunst en cultuur","Kerndoel 40 - Artistiek creatief vermogen","40A","De leerling gebruikt creatieve maak- en denkstrategieen in een iteratief proces en reflecteert op gemaakte keuzes: ideeen, mogelijkheden en oplossingen onderzoeken; het maakproces evalueren en bijstellen.","Deels","Bedenken van een bewegend figuur; figuur, beweging en mechanisme kiezen (divergeren -> convergeren, les 1-2); ontwerp bijstellen na de draaitest (les 6); rubric criterium 2.","Het creatieve maakproces is aanwezig maar primair technisch gestuurd; de kunstzinnige reflectie is licht."
"Kunst en cultuur","Kerndoel 41 - Maakt kunstzinnige uitingen","41A","De leerling drukt zich uit in vormen van kunst: ontwerpen en realiseren van toegepaste vormen van kunst; ideeen verbeelden.","Deels","Figuur en decoratie die de gekozen beweging versterken (les 6-7); vormgeving past bij Staatsbosbeheer-tentoonstelling; rubric criterium 2.","STEAM: techniek en vormgeving worden tot een geheel gecombineerd (ontwerp-leerdoel). Toegepaste vormgeving, geen vrij kunstwerk."
"Kunst en cultuur","Kerndoel 41 - Maakt kunstzinnige uitingen","41B","De leerling kiest en gebruikt bekende en nieuwe technieken en vaardigheden: beeldende materialen, technieken en gereedschappen.","Deels","Figuur maken van karton of foamboard en decoreren (les 6-7).","Beeldend materiaal- en gereedschapsgebruik naast de technische constructie."
